Src IP,Dst Port,Protocol,Anomaly_Score,Rule_Result,Prediction,True_Label
172.20.48.170,443,6,0.636401488296017,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,5222,6,0.6615578707927676,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6185031119015577,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6297594742258694,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,17,0.6214486122337227,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6326814428212424,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6966306851892385,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6317446665701179,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,17,0.6094639464405349,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.5995621572805645,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6189914733072199,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6350125011517969,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6392519363684949,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6323895504452556,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6664304370116927,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6127755869016949,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,8883,6,0.5021236529251989,Normal,Normal,NEEDMANUALLABEL
172.20.48.170,443,6,0.637730363228203,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.6306458250179118,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.612977062557187,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,443,6,0.5780370233022779,Normal,ATTACK,NEEDMANUALLABEL
172.20.48.170,7680,6,0.4636304255637997,Normal,Normal,NEEDMANUALLABEL
